Year,Month,Day,Human Error,Electrical,Temperature,Wind Speed,Precipitation,Fire Occurred
2023,1,1,0,0,27.5,3.2,0,0
2023,1,2,0,0,28.1,5.4,4.8,0
2023,1,3,0,0,26.4,5.6,19.8,0
2023,1,4,0,0,27.3,10.3,6.6,0
2023,1,5,0,0,26.4,6.2,26.2,0
2023,1,6,0,0,26.3,6.9,19.3,0
2023,1,7,0,0,27,8.3,0,0
2023,1,8,0,0,26,8.4,0,0
2023,1,9,0,0,26.3,7,0,0
2023,1,10,0,0,26.4,6.3,0,0
2023,1,11,0,0,26.8,16.5,0,0
2023,1,12,0,0,26.8,16.6,0,0
2023,1,13,0,0,26.8,15.6,0.6,0
2023,1,14,0,0,26.6,13.2,0.8,0
2023,1,15,0,0,26.7,11.7,0,0
2023,1,16,0,0,26.2,14.2,35.1,0
2023,1,17,0,0,27.6,17.6,0,0
2023,1,18,0,0,26.9,21.1,0,0
2023,1,19,0,0,27.6,20.7,0,0
2023,1,20,0,0,26.9,20.8,0,0
2023,1,21,0,0,27.8,21.7,1,0
2023,1,22,0,0,27,19,0,0
2023,1,23,0,0,27.5,16.1,0,0
2023,1,24,0,0,27.6,18.2,0.4,0
2023,1,25,0,0,26.8,23.7,0,0
2023,1,26,0,0,26.1,19.4,0,0
2023,1,27,0,0,26.7,17.3,22.2,0
2023,1,28,0,0,25.8,18.3,0,0
2023,1,29,0,0,25.3,19.6,0.1,0
2023,1,30,0,0,25.8,19,0.2,0
2023,1,31,0,0,26.6,21.9,0,0
2023,2,1,0,0,27.3,19.7,0,0
2023,2,2,0,0,28,18.8,0,0
2023,2,3,0,0,28.2,17.7,0,0
2023,2,4,0,0,26.8,20.3,0,0
2023,2,5,0,0,27.3,18.3,0,0
2023,2,6,0,0,27.5,15.9,7,0
2023,2,7,0,0,27.6,16.7,0.6,0
2023,2,8,0,0,27.6,18.3,0.8,0
2023,2,9,0,0,27.8,19.8,0,0
2023,2,10,0,0,27.3,16.6,0,0
2023,2,11,0,0,27.9,20,0,0
2023,2,12,0,0,27.7,19.8,0.2,0
2023,2,13,0,0,28.4,14.6,0.4,0
2023,2,14,0,0,27.7,13.9,0,0
2023,2,15,0,0,27.3,19.7,0,0
2023,2,16,0,0,27.6,22.2,0.1,0
2023,2,17,0,0,26.9,20.7,0,0
2023,2,18,0,0,27.3,20.9,1.5,0
2023,2,19,0,0,26.1,18.5,0,0
2023,2,20,0,0,26,9.9,1.5,0
2023,2,21,0,0,25.9,11.9,4.6,0
2023,2,22,0,0,27,15,0,0
2023,2,23,0,0,27.8,12.8,0,0
2023,2,24,0,0,28.7,10.4,0,0
2023,2,25,0,0,29.6,15,2.4,0
2023,2,26,0,0,28,27.4,0,0
2023,2,27,0,0,27.2,25.6,0,0
2023,2,28,0,0,27.2,18.1,0,0
2023,3,1,0,0,27.4,15.6,1.5,0
2023,3,2,0,0,26.3,19,0,0
2023,3,3,0,0,26.6,20.2,0,0
2023,3,4,0,0,26.8,16.9,0,0
2023,3,5,0,0,26.7,18.1,0,0
2023,3,6,0,0,26.5,17.6,0,0
2023,3,7,0,0,26.6,17.9,0,0
2023,3,8,0,0,27.1,15.5,0.4,0
2023,3,9,0,0,26.8,12.8,0.2,0
2023,3,10,0,0,26.3,16.5,3.3,0
2023,3,11,0,0,26.9,17.4,0,0
2023,3,12,0,0,26.7,14.9,0,0
2023,3,13,0,0,26.7,18.1,3,0
2023,3,14,0,0,27.2,19.2,0,0
2023,3,15,0,0,28.1,15.5,0,0
2023,3,16,0,0,28.2,18.7,0,0
2023,3,17,0,0,28,17.5,1.4,0
2023,3,18,0,0,28.6,18.9,0,0
2023,3,19,0,0,28.3,22.3,0,0
2023,3,20,0,0,28.6,21,0,0
2023,3,21,0,0,28.4,20.4,0,0
2023,3,22,0,0,29.6,19.3,0,0
2023,3,23,0,0,29.6,20.1,0,0
2023,3,24,0,0,30.4,19.2,1.1,0
2023,3,25,0,0,30.7,22.8,0.1,0
