Year,Month,Day,Human Error,Electrical,Temperature,Wind Speed,Precipitation,Fire Occurred
2021,1,26,0,1,26,3.6,2.1,1
2021,1,30,0,1,23.3,7.9,0,1
2021,1,31,0,1,23.3,7.9,0,1
2021,2,12,0,1,26.1,10.2,2,1
2021,2,18,1,0,24.9,6.3,0.2,1
2021,2,23,0,1,25.2,6.6,20.4,1
2021,3,19,0,1,25.9,9.3,0,1
2021,3,26,1,0,27.8,8.9,1.4,1
2021,4,28,1,0,27.6,7.8,0.4,1
2021,5,11,1,0,30,10.2,0.1,1
2021,5,17,1,0,30.9,11.1,0.1,1
2021,5,26,0,1,29.9,8.3,0.5,1
2021,7,23,0,1,26.7,29.1,22.5,1
2021,7,25,0,1,26.9,30.5,22.6,1
2021,9,8,0,1,25.7,31.6,214,1
2021,11,4,1,0,27.5,6.6,3.1,1
2021,11,12,0,1,27.5,4.9,4.7,1
2021,12,5,0,1,24.9,8,1.5,1
2021,12,13,1,0,26.7,8.8,0,1
2021,12,23,0,1,26.1,4.4,1.1,1
2021,12,25,0,1,26.2,6.2,0.7,1
2021,12,27,0,1,23,9.4,30.4,1
2022,1,13,1,0,24.8,5.4,1.7,1
2022,1,14,1,0,24.9,9,0.2,1
2022,1,21,0,1,25,7.5,8.2,1
2022,2,3,0,1,26.6,7.4,0.2,1
2022,2,28,0,1,27.4,11.3,0,1
2022,3,14,0,1,27.9,4.5,3.7,1
2022,5,15,1,0,28.2,5.8,0.6,1
2022,7,10,1,0,27.7,8.8,3.5,1
2022,8,19,0,1,26.9,6.3,5.3,1
2022,9,15,0,1,27,15.3,3.9,1
2022,10,29,0,1,25.3,29.6,130,1
2022,11,2,0,1,26.6,7.4,0.4,1
2022,11,20,0,1,26.4,10,4.6,1
2023,1,28,0,1,25.2,18.3,0.5,1
2023,2,18,1,0,26.2,20.9,1.5,1
2023,2,23,1,0,26.1,12.8,0,1
2023,3,4,0,1,25.2,16.9,0,1
2023,3,10,1,0,25.6,16.5,3.3,1
2023,3,20,1,0,26.8,21,0,1
2023,3,30,0,1,28.2,14.9,0.4,1
2023,4,11,0,1,28.2,16.3,0,1
2023,4,19,0,1,28.5,14.9,0.2,1
2023,4,20,1,,29,14.8,0,1
2023,5,4,0,1,29.6,22.5,1.5,1
2023,5,17,0,1,29,13.8,1,1
2023,6,19,0,1,28.2,10.1,3.6,1
2023,7,14,0,1,26.1,42.1,66.6,1
2023,7,16,0,1,26.8,37.9,22.4,1
2023,7,17,0,1,27.5,24.3,10.9,1
2023,8,10,0,1,28,19.3,2.8,1
2023,9,6,0,1,27.2,12.9,7.1,1
2023,10,9,0,1,27.1,9.9,3.7,1
2023,10,13,1,0,27.3,11.1,3.8,1
2023,12,12,1,0,27.9,16.2,0,1
