Year,Month,Day,Human Error,Electrical,Temperature,Wind Speed,Precipitation,Fire Occurred
2021,1,2,0,0,25.3,0.7,11.8,0
2021,1,3,0,0,25.7,3.4,8.9,0
2021,1,4,0,0,25.9,1.3,6.2,0
2021,1,5,0,0,26,0.6,3.8,0
2021,1,6,0,0,25.7,0,6.1,0
2021,1,7,0,0,25.7,0.4,5.5,0
2021,1,8,0,0,26,0.2,8.6,0
2021,1,9,0,0,25,0.3,13.4,0
2021,1,10,0,0,24.5,0,8,0
2021,1,11,0,0,24.6,0.2,6.6,0
2021,1,12,0,0,24.5,0,6.8,0
2021,1,13,0,0,24.3,0.2,5.9,0
2021,1,14,0,0,25.4,0.2,5.4,0
2021,1,15,0,0,26,0,8.5,0
2021,1,16,0,0,26,0,5.5,0
2021,1,17,0,0,25.6,0.8,9,0
2021,1,18,0,0,25,4,16.7,0
2021,1,19,0,0,24.7,3.6,12.3,0
2021,1,20,0,0,24.6,15.8,11.7,0
2021,1,21,0,0,25.7,5,5.8,0
2021,1,22,0,0,26,1.7,7.9,0
2021,1,23,0,0,26.1,0.5,6.2,0
2021,1,24,0,0,26.1,1.4,3.2,0
2021,1,25,0,0,26,104,3.7,0
2021,1,27,0,0,26,2.5,3.3,0
2021,1,28,0,0,25.5,3.8,3.8,0
2021,1,29,0,0,24.5,0,7.6,0
2021,2,1,0,0,23.8,0.2,7.1,0
2021,2,2,0,0,23.9,2.6,6.1,0
2021,2,3,0,0,25,0.1,5.6,0
2021,2,4,0,0,25.3,0,8.5,0
2021,2,5,0,0,25.4,0.7,10.1,0
2021,2,6,0,0,25.6,0.3,4.6,0
2021,2,7,0,0,26.3,0.1,4.9,0
2021,2,8,0,0,26,0.1,7.7,0
2021,2,9,0,0,25.8,4.9,6.8,0
2021,2,10,0,0,25.2,0.6,9.3,0
2021,2,11,0,0,25.9,0.6,5.3,0
2021,2,13,0,0,24.6,4.8,9.3,0
2021,2,14,0,0,25.5,3.4,5.3,0
2021,2,15,0,0,25.3,0.6,6.2,0
2021,2,16,0,0,25.2,1.3,7.4,0
2021,2,17,0,0,24.3,0.3,5.2,0
2021,2,19,0,0,23.7,0,11.1,0
2021,2,20,0,0,22.6,0,8.7,0
2021,2,21,0,0,23.8,0.2,8.2,0
2021,2,22,0,0,25.5,2.3,13.1,0
2021,2,24,0,0,26.4,1.3,6.3,0
2021,2,25,0,0,26.4,0,6.5,0
2021,2,26,0,0,25.8,0,5.8,0
