time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
01/01/2023,27.5,25,29.8,1.3,,355,5.9,,1013.2,
02/01/2023,28.1,26,32,0.1,,4,6.5,,1013,
03/01/2023,26.4,25.8,29.5,1.4,,11,7.5,,1012.3,
04/01/2023,27.3,24,30,16.9,,15,8.5,,1012,
05/01/2023,26.4,25.1,28,4.3,,37,7.2,,1012.2,
06/01/2023,26.3,24.8,27.7,5.9,,50,5.7,,1013,
07/01/2023,27,24.8,29.5,0,,44,7,,1013,
08/01/2023,26,23.5,28.2,0,,38,6.2,,1014.2,
09/01/2023,26.3,24.2,30.4,0,,347,6.2,,1014.2,
10/01/2023,26.4,22.4,29,0,,343,5.8,,1012.5,
11/01/2023,26.8,24,29.8,0,,344,6,,1012,
12/01/2023,26.8,24.8,29.1,0,,341,6.2,,1011.9,
13/01/2023,26.8,24,30.5,0.6,,339,6.5,,1011.2,
14/01/2023,26.6,23.5,28.9,0,,312,6.5,,1009,
15/01/2023,26.7,23.3,30.1,0.5,,329,7,,1007.9,
16/01/2023,26.2,24.8,28.1,3.9,,356,6.8,,1009.5,
17/01/2023,27.6,25,31,0,,356,6.2,,1011.6,
18/01/2023,26.9,25,29.2,0.6,,352,6.1,,1012.9,
19/01/2023,27.6,25,30,0,,8,7.1,,1012.9,
20/01/2023,26.9,25.4,28.8,0,,21,6.8,,1012.6,
21/01/2023,27.8,24.5,30.4,1,,28,6.5,,1012.1,
22/01/2023,27,25.1,29,0.1,,33,6.1,,1011.5,
23/01/2023,27.5,24.5,33,0.5,,12,6.6,,1010.4,
24/01/2023,27.6,25.5,29.9,0.4,,15,7.8,,1011,
25/01/2023,26.8,25.3,28.6,0,,22,8.2,,1011.5,
26/01/2023,26.1,24.1,28.2,0,,2,7.3,,1011.4,
27/01/2023,26.7,24,29.4,22.2,,347,7.7,,1010.6,
28/01/2023,25.8,24.7,27.3,0.5,,5,7.4,,1010.4,
29/01/2023,25.3,23.3,29.7,0.1,,0,6.6,,1011.8,
30/01/2023,25.8,24.1,27.5,0.2,,9,7.5,,1012.7,
31/01/2023,26.6,24.7,28.9,0,,50,6.6,,1012.3,
01/02/2023,27.3,24.6,30.1,0,,54,6.8,,1011.9,
02/02/2023,28,25.5,30.2,1.3,,47,6.3,,1012.4,
03/02/2023,28.2,26.2,30.5,1.1,,61,7,,1012,
04/02/2023,26.8,25,30.6,0,,70,6.9,,1011.7,
05/02/2023,27.3,25.2,29.7,0,,70,6.4,,1011.4,
06/02/2023,27.5,25.4,29.4,7,,96,6.6,,1011.1,
07/02/2023,27.6,24.8,30.5,0.6,,117,6.3,,1011.4,
08/02/2023,27.6,25.8,29.9,0.8,,81,6.5,,1012.1,
09/02/2023,27.8,25.1,30.8,0,,71,7.6,,1012.4,
